Date,RegionID,RegionName,State,Metro,County,City,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
9/30/2016,82226,55375,MN,Minneapolis-St Paul,Hennepin,Saint Bonifacius,10472,282700,0.004262877,0.01217329,0.022053507,0.051526243,-0.005590048,2006-02,2006-Q1,299700,-0.05672339,2004-11
9/30/2016,95991,90010,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,Los Angeles,10473,808600,-0.011853843,-0.004554967,0.033222591,0.10763941,0.029143592,2016-07,2016-Q3,823400,-0.017974253,2016-06
9/30/2016,65328,18051,PA,Allentown,Lehigh,Weisenberg Township,10474,279000,0.006130545,0.025358324,0.006130545,0.01257555,-0.010032749,2006-07,2006-Q3,309300,-0.097963143,2005-06
9/30/2016,94680,84745,UT,St. George,Washington,La Verkin,10475,170400,0.005309735,0.023423423,0.067669173,0.071224585,-0.018124562,2007-04,2007-Q2,227900,-0.252303642,2006-03
9/30/2016,82416,55741,MN,Duluth,Saint Louis,Gilbert,10476,103300,0.01773399,0.059487179,0.080543933,0.021889925,,2016-09,2016-Q3,103300,0,2016-09
9/30/2016,58574,1984,MA,Boston,Essex,Wenham,10477,554200,0.001264679,0.003440159,0.012237443,0.033639726,0.002283933,2005-08,2005-Q3,577900,-0.041010555,2005-01
9/30/2016,82072,55055,MN,Minneapolis-St Paul,Washington,Newport,10478,169500,0.007130125,0.01618705,0.022933011,0.050963539,-0.018115218,2007-06,2007-Q2,208000,-0.185096154,2003-01
9/30/2016,62603,12484,NY,Kingston,Ulster,Marbletown,10479,256300,-0.005432674,-0.011950655,0.03138833,0.022602379,-0.009720828,2006-09,2006-Q3,282600,-0.093064402,2005-03
9/30/2016,71949,32343,FL,Tallahassee,Gadsden,Midway,10480,120300,0.003336113,0.009228188,0.055263158,0.012957689,-0.022083488,2007-01,2007-Q1,151300,-0.204890945,2005-03
9/30/2016,75307,39459,MS,Laurel,Jones,Moselle,10481,125700,-0.006324111,0.014527845,0.077120823,-0.002055678,0.027643155,2011-07,2011-Q3,130200,-0.034562212,2011-01
9/30/2016,63863,15052,PA,Pittsburgh,Beaver,Ohioville,10482,126600,0.000790514,-0.0109375,0.072881356,0.04192152,0.027201949,2016-06,2016-Q2,128000,-0.0109375,2016-05
9/30/2016,73206,34756,FL,Orlando,Lake,Montverde,10483,307500,0.003262643,0.009520683,0.073673184,0.08362733,-0.025834301,2006-06,2006-Q2,401300,-0.233740344,2005-06
9/30/2016,81348,53521,WI,Madison,Dane,Brooklyn,10484,248500,0.0052589,0.009752133,0.045875421,0.03228141,0.011294822,2016-09,2016-Q3,248500,0,2016-09
9/30/2016,61076,8403,NJ,Atlantic City,Atlantic,Longport,10485,724400,-0.014019328,0.001797815,0.01102582,-0.003469934,-0.004023271,2008-10,2008-Q4,857800,-0.155514106,2006-06
9/30/2016,77453,45120,OH,Cincinnati,Clermont,Felicity,10486,113500,0.008888889,0.029945554,0.066729323,0.031492131,-0.00538752,2006-05,2006-Q2,121100,-0.062758051,2005-11
9/30/2016,59829,5149,VT,Claremont,Windsor,Town of Ludlow,10487,232900,0.010850694,0.039732143,-0.060887097,0.014710881,,2009-11,2009-Q4,273100,-0.147198828,
9/30/2016,78969,48096,MI,Detroit,Macomb,Ray,10488,223100,-0.002682164,-0.001789709,-0.000448029,0.074726594,-0.013468705,2006-03,2006-Q1,261100,-0.145538108,2001-02
9/30/2016,66546,20676,MD,Washington,Calvert,Port Republic,10489,320800,0.009439899,0.013265951,0.016154577,6.23558E-05,-0.02907477,2006-06,2006-Q2,438600,-0.268581851,2004-09
9/30/2016,59012,3048,NH,Manchester,Hillsborough,Town of Greenville,10490,234000,0.004291845,0.015625,0.045576408,0.024230494,,2016-09,2016-Q3,234000,0,2016-09
9/30/2016,70858,30079,GA,Atlanta,Dekalb,Scottdale,10491,126700,0.003167063,-0.011700468,0.006354249,0.03264497,-0.016147718,2006-12,2006-Q4,153400,-0.174054759,2003-06
